,Name,Category,priceElement,ZipCode,QueryCategory
0, Asia Grill,RestaurantsFamily Style RestaurantsAsian Restaurants,$,61771,restaurant
1, Dixon's Seafood Shoppe,RestaurantsSeafood RestaurantsFish & Seafood Markets,,61771,restaurant
2, Mike's Garage,RestaurantsAutomobile Parts & SuppliesAutomobile Air Conditioning Equipment,,61771,restaurant
3, Paparazzi,RestaurantsItalian Restaurants,$$,61771,restaurant
4, China Star,RestaurantsChinese RestaurantsAsian Restaurants,$,61771,restaurant
5, The Flame Family Restaurant,RestaurantsFamily Style RestaurantsTake Out Restaurants,$,61771,restaurant
6, Uncle Tom's Pancake House,RestaurantsAmerican RestaurantsTake Out Restaurants,$,61771,restaurant
7, Cardinal Restaurant Group,RestaurantsFamily Style Restaurants,,61771,restaurant
8, Biscuits & Gravy,RestaurantsAmerican Restaurants,,61771,restaurant
9, Green Garden Restaurant,RestaurantsAmerican RestaurantsFamily Style Restaurants,,61771,restaurant
10, Sue's Place Inc,RestaurantsBarbecue RestaurantsBars,,61771,restaurant
11, Didley's Place,RestaurantsAmerican RestaurantsFamily Style Restaurants,$,61771,restaurant
12, Denny's,"RestaurantsBreakfast, Brunch & Lunch RestaurantsAmerican Restaurants",$,61771,restaurant
13, Common Grounds Cafe & Pie Shop,RestaurantsCoffee ShopsCoffee & Tea,,61771,restaurant
14, Woody's Family Restaurant,RestaurantsAmerican RestaurantsTake Out Restaurants,$,61771,restaurant
15, Busy Corner,RestaurantsCoffee ShopsAmerican Restaurants,,61771,restaurant
16, Lake Road Inn,RestaurantsAmerican RestaurantsBars,,61771,restaurant
17, Carlock Family Restaurant,RestaurantsFamily Style RestaurantsAmerican Restaurants,,61771,restaurant
18, Green Gables,RestaurantsAmerican RestaurantsBars,,61771,restaurant
19, MrBeast Burger,RestaurantsAmerican RestaurantsLatin American Restaurants,,61771,restaurant
20, Dave's Country Kitchen,RestaurantsAmerican Restaurants,,61771,restaurant
21,Wing Street,RestaurantsAmerican RestaurantsTake Out Restaurants,,61771,restaurant
22,Miners Dream Family Restaurant,RestaurantsFamily Style Restaurants,,61771,restaurant
23,Peking Garden,RestaurantsChinese Restaurants,,61771,restaurant
24,Michael's Italian Feast,RestaurantsItalian RestaurantsMediterranean Restaurants,,61771,restaurant
25,Cornerstone Family Restaurant,RestaurantsCoffee ShopsFamily Style Restaurants,$,61771,restaurant
26,Giovanni's Pizza,RestaurantsPizzaItalian Restaurants,$$,61771,restaurant
27,Woody's Family Restaurant,RestaurantsAmerican RestaurantsFamily Style Restaurants,$,61771,restaurant
28,Java Café,RestaurantsCoffee & Espresso RestaurantsAmerican Restaurants,,61771,restaurant
29,Secor Saloon,RestaurantsTavernsBars,,61771,restaurant
30, Delhei's Place,Restaurants,,61760,restaurant
31, Falcon Food & Spirit,RestaurantsPizza,,61760,restaurant
32, Susy's Place,Restaurants,,61760,restaurant
33, Pizza Hut,RestaurantsPizzaTake Out Restaurants,,61760,restaurant
34, MrBeast Burger,Restaurants,,61760,restaurant
35, Gold Dust Diner,Restaurants,,61760,restaurant
36, Asia Grill,RestaurantsFamily Style RestaurantsAsian Restaurants,$,61760,restaurant
37, Dixon's Seafood Shoppe,RestaurantsSeafood RestaurantsFish & Seafood Markets,,61760,restaurant
38, Mike's Garage,RestaurantsAutomobile Parts & SuppliesAutomobile Air Conditioning Equipment,,61760,restaurant
39, Paparazzi,RestaurantsItalian Restaurants,$$,61760,restaurant
40, Sicily Pizza,RestaurantsItalian RestaurantsPizza,$,61760,restaurant
